consumers_quantity,Mês/Ano
160014340,2022-05-01
159098139,2022-04-01
160799873,2022-03-01
158925118,2022-02-01
158506931,2022-01-01
160111575,2021-12-01
158372980,2021-11-01
158702963,2021-10-01
159137650,2021-09-01
159066732,2021-08-01
158919436,2021-07-01
158929529,2021-06-01
157963142,2021-05-01
158167521,2021-04-01
158789930,2021-03-01
155863960,2021-02-01
157172488,2021-01-01
157983206,2020-12-01
156588895,2020-11-01
157214792,2020-10-01
157002782,2020-09-01
156671400,2020-08-01
157378584,2020-07-01
156609393,2020-06-01
155927477,2020-05-01
156156148,2020-04-01
156217198,2020-03-01
154862354,2020-02-01
155662807,2020-01-01
156056308,2019-12-01
154991091,2019-11-01
156053737,2019-10-01
154957895,2019-09-01
155347250,2019-08-01
155192181,2019-07-01
154672832,2019-06-01
155068891,2019-05-01
154494404,2019-04-01
154726239,2019-03-01
152787704,2019-02-01
154427955,2019-01-01
154042768,2018-12-01
153615613,2018-11-01
153939997,2018-10-01
153229355,2018-09-01
153986854,2018-08-01
153368107,2018-07-01
153409508,2018-06-01
153586344,2018-05-01
152768473,2018-04-01
153249906,2018-03-01
152176208,2018-02-01
152693328,2018-01-01
152578237,2017-12-01
152355367,2017-11-01
152408072,2017-10-01
151661554,2017-09-01
152318190,2017-08-01
151550213,2017-07-01
152126314,2017-06-01
151783130,2017-05-01
150949126,2017-04-01
152072684,2017-03-01
150454520,2017-02-01
151095211,2017-01-01
150936431,2016-12-01
150333758,2016-11-01
150360762,2016-10-01
150428971,2016-09-01
150433452,2016-08-01
150065126,2016-07-01
150311307,2016-06-01
149976222,2016-05-01
149340126,2016-04-01
150354947,2016-03-01
148962775,2016-02-01
149158414,2016-01-01
149835121,2015-12-01
148543795,2015-11-01
149215899,2015-10-01
148915286,2015-09-01
148559532,2015-08-01
149282187,2015-07-01
148728050,2015-06-01
148054757,2015-05-01
148387164,2015-04-01
148656946,2015-03-01
147499498,2015-02-01
147916025,2015-01-01
148488351,2014-12-01
147293074,2014-11-01
148376677,2014-10-01
147567033,2014-09-01
147670538,2014-08-01
147859432,2014-07-01
147211584,2014-06-01
147103136,2014-05-01
146972211,2014-04-01
147011470,2014-03-01
146266104,2014-02-01
146660730,2014-01-01
147186983,2013-12-01
145982465,2013-11-01
147199915,2013-10-01
146120983,2013-09-01
146692952,2013-08-01
146522554,2013-07-01
146130251,2013-06-01
146568836,2013-05-01
145639969,2013-04-01
146156589,2013-03-01
145245699,2013-02-01
146011377,2013-01-01
145278087,2012-12-01
145326769,2012-11-01
145683234,2012-10-01
144876858,2012-09-01
146085918,2012-08-01
145225134,2012-07-01
145441312,2012-06-01
146116653,2012-05-01
145094960,2012-04-01
145331057,2012-03-01
144463591,2012-02-01
144599424,2012-01-01
145024799,2011-12-01
144644581,2011-11-01
144516255,2011-10-01
144832378,2011-09-01
145243220,2011-08-01
144557120,2011-07-01
144811126,2011-06-01
144382247,2011-05-01
144058824,2011-04-01
144957102,2011-03-01
143511686,2011-02-01
143568441,2011-01-01
144893559,2010-12-01
144232350,2010-11-01
144494350,2010-10-01
144532490,2010-09-01
144509086,2010-08-01
144563790,2010-07-01
144138745,2010-06-01
143683686,2010-05-01
144139020,2010-04-01
144193891,2010-03-01
143096373,2010-02-01
143201001,2010-01-01
144292287,2009-12-01
143252943,2009-11-01
143889070,2009-10-01
143473810,2009-09-01
143539696,2009-08-01
143859563,2009-07-01
143769664,2009-06-01
143070924,2009-05-01
143685837,2009-04-01
143532486,2009-03-01
142891027,2009-02-01
143092208,2009-01-01
144144391,2008-12-01
142802011,2008-11-01
143866544,2008-10-01
143531265,2008-09-01
143658867,2008-08-01
143629292,2008-07-01
143404043,2008-06-01
143167043,2008-05-01
143118223,2008-04-01
143198070,2008-03-01
142816242,2008-02-01
143412299,2008-01-01
