preço_energia_residêncial_(cents/kwh),preço_energia_comercial_(cents/kwh),preço_energia_industrial_(cents/kwh),Mês/Ano
14.97,12.15,8.37,2022-05-01
14.71,11.93,7.84,2022-04-01
14.48,11.77,7.5,2022-03-01
13.83,11.79,7.47,2022-02-01
13.72,11.36,7.3,2022-01-01
13.72,11.15,7.06,2021-12-01
14.07,11.29,7.37,2021-11-01
14.06,11.52,7.44,2021-10-01
14.14,11.65,7.61,2021-09-01
13.92,11.52,7.54,2021-08-01
13.83,11.46,7.42,2021-07-01
13.83,11.33,7.22,2021-06-01
13.86,10.86,6.65,2021-05-01
13.73,10.87,6.7,2021-04-01
13.24,11.08,6.98,2021-03-01
13.01,11.36,7.75,2021-02-01
12.62,10.27,6.32,2021-01-01
12.78,10.41,6.41,2020-12-01
13.31,10.53,6.49,2020-11-01
13.66,10.72,6.72,2020-10-01
13.49,11.02,7.0,2020-09-01
13.26,10.9,7.07,2020-08-01
13.21,10.84,7.16,2020-07-01
13.22,10.89,6.94,2020-06-01
13.1,10.4,6.54,2020-05-01
13.24,10.37,6.39,2020-04-01
13.04,10.34,6.39,2020-03-01
12.82,10.3,6.44,2020-02-01
12.76,10.18,6.37,2020-01-01
12.68,10.32,6.38,2019-12-01
13.03,10.57,6.72,2019-11-01
12.81,10.74,6.84,2019-10-01
13.16,10.96,7.06,2019-09-01
13.3,11.02,7.4,2019-08-01
13.26,11.02,7.14,2019-07-01
13.32,10.9,6.87,2019-06-01
13.31,10.54,6.69,2019-05-01
13.25,10.52,6.51,2019-04-01
12.84,10.46,6.73,2019-03-01
12.72,10.54,6.69,2019-02-01
12.47,10.3,6.58,2019-01-01
12.43,10.33,6.67,2018-12-01
12.9,10.54,6.85,2018-11-01
12.85,10.77,6.87,2018-10-01
13.01,10.72,7.05,2018-09-01
13.26,11.03,7.25,2018-08-01
13.13,11.0,7.32,2018-07-01
13.03,10.84,7.17,2018-06-01
13.12,10.51,6.79,2018-05-01
12.88,10.46,6.57,2018-04-01
12.97,10.51,6.63,2018-03-01
12.63,10.65,6.78,2018-02-01
12.22,10.49,6.94,2018-01-01
12.45,10.28,6.54,2017-12-01
12.94,10.49,6.73,2017-11-01
12.8,10.78,6.91,2017-10-01
13.28,11.03,7.17,2017-09-01
13.15,11.01,7.22,2017-08-01
13.08,10.97,7.31,2017-07-01
13.2,11.01,7.19,2017-06-01
13.07,10.59,6.78,2017-05-01
12.72,10.4,6.6,2017-04-01
12.89,10.46,6.71,2017-03-01
12.79,10.48,6.63,2017-02-01
12.21,10.21,6.59,2017-01-01
12.23,10.17,6.67,2016-12-01
12.75,10.32,6.66,2016-11-01
12.46,10.55,6.73,2016-10-01
12.87,10.77,7.14,2016-09-01
12.88,10.76,7.23,2016-08-01
12.68,10.68,7.23,2016-07-01
12.73,10.66,7.03,2016-06-01
12.79,10.31,6.57,2016-05-01
12.43,10.19,6.44,2016-04-01
12.56,10.23,6.46,2016-03-01
12.14,10.25,6.42,2016-02-01
11.99,10.08,6.44,2016-01-01
12.32,10.13,6.45,2015-12-01
12.71,10.3,6.61,2015-11-01
12.72,10.73,6.88,2015-10-01
13.03,10.98,7.21,2015-09-01
12.91,10.94,7.35,2015-08-01
12.94,11.07,7.45,2015-07-01
12.92,10.89,7.11,2015-06-01
12.93,10.47,6.74,2015-05-01
12.62,10.37,6.61,2015-04-01
12.33,10.63,6.83,2015-03-01
12.29,10.62,6.88,2015-02-01
12.1,10.31,6.67,2015-01-01
12.17,10.36,6.7,2014-12-01
12.48,10.52,6.75,2014-11-01
12.6,10.83,7.07,2014-10-01
12.95,11.16,7.37,2014-09-01
13.04,11.05,7.51,2014-08-01
13.09,11.17,7.62,2014-07-01
12.99,10.96,7.39,2014-06-01
12.85,10.54,6.83,2014-05-01
12.31,10.46,6.77,2014-04-01
12.25,10.65,6.99,2014-03-01
11.94,10.68,7.12,2014-02-01
11.65,10.35,6.98,2014-01-01
11.72,9.96,6.66,2013-12-01
12.1,10.03,6.65,2013-11-01
12.36,10.28,6.87,2013-10-01
12.51,10.53,7.22,2013-09-01
12.53,10.69,7.37,2013-08-01
12.65,10.7,7.45,2013-07-01
12.54,10.65,7.25,2013-06-01
12.4,10.22,6.75,2013-05-01
11.93,9.96,6.58,2013-04-01
11.61,10.02,6.64,2013-03-01
11.63,10.06,6.66,2013-02-01
11.46,9.77,6.5,2013-01-01
11.62,9.81,6.52,2012-12-01
11.75,9.89,6.5,2012-11-01
12.03,10.08,6.62,2012-10-01
12.3,10.5,6.97,2012-09-01
12.17,10.39,7.08,2012-08-01
12.0,10.39,7.13,2012-07-01
12.09,10.39,6.89,2012-06-01
11.9,9.96,6.53,2012-05-01
11.92,9.82,6.38,2012-04-01
11.7,9.84,6.46,2012-03-01
11.51,9.94,6.45,2012-02-01
11.41,9.84,6.44,2012-01-01
11.4,9.77,6.51,2011-12-01
11.78,9.98,6.53,2011-11-01
12.08,10.25,6.77,2011-10-01
12.17,10.59,7.15,2011-09-01
12.09,10.72,7.39,2011-08-01
12.09,10.67,7.32,2011-07-01
11.97,10.66,7.14,2011-06-01
11.93,10.19,6.68,2011-05-01
11.67,9.96,6.53,2011-04-01
11.52,9.93,6.53,2011-03-01
11.06,9.99,6.63,2011-02-01
10.87,9.78,6.53,2011-01-01
11.06,9.82,6.6,2010-12-01
11.62,9.99,6.56,2010-11-01
11.86,10.25,6.8,2010-10-01
11.95,10.52,7.0,2010-09-01
12.03,10.62,7.22,2010-08-01
12.04,10.72,7.23,2010-07-01
11.91,10.56,6.97,2010-06-01
11.91,10.15,6.64,2010-05-01
11.71,9.95,6.55,2010-04-01
11.11,9.95,6.53,2010-03-01
10.89,9.89,6.55,2010-02-01
10.49,9.55,6.5,2010-01-01
10.9,9.7,6.54,2009-12-01
11.26,9.78,6.4,2009-11-01
11.65,10.13,6.7,2009-10-01
11.96,10.45,6.89,2009-09-01
11.94,10.52,7.1,2009-08-01
11.85,10.56,7.1,2009-07-01
11.81,10.46,7.09,2009-06-01
11.78,10.11,6.77,2009-05-01
11.5,9.87,6.75,2009-04-01
11.28,9.96,6.81,2009-03-01
11.18,10.2,6.9,2009-02-01
10.98,9.96,6.92,2009-01-01
